Year,Host City,Country ,Gold,Silver,Bronze,Country Total,Total Medals,Event Total,Total Sports,Latitude of Country Capital,Host City Latitude,GDP (in trillion USD),GDP Growth Rate,GDP Per Capita,Population,Population Growth Rate,Average Age,Hosting Current Olympics,Hosted Immediate Previous Olympic,Hosting Next Olympic,Geographic Area,No. Of Participants,No. Of Events,Export (in billion $),Import (in billion $)
1896,Athens,Chile,,,,,129,43,9,,37.98,6039.419194,,2142.920725,2818.312,,,,,,,,,,
1900,Paris,Chile,,,,,255,85,19,,48.85,6492.113012,7.495651552,2194.033028,2958.986,,,,,,,,,,
1904,Saint Louis,Chile,,,,,282,94,16,,38.62,7091.868341,9.238214542,2287.481785,3100.295,,,,,,,,,,
1908,London,Chile,,,,,330,110,22,,51.5,8896.138681,25.44139645,2742.524742,3243.777,,,,,,,,,,
1912,Stockholm,Chile,,,,,306,102,14,,59.32,10067.41145,13.16608042,2967.751512,3392.269,,,,,,,,,,
1920,Antwerp,Chile,,,,,468,156,22,,51.21,10304.83854,2.358372723,2768.184623,3722.598,,,,,,,,,,
1924,Paris,Chile,,,,,378,126,17,,48.85,11992.21661,16.37461921,3061.679684,3916.875,,,,,,,,,,
1928,Amstredam,Chile,,,,,327,109,14,,52.37,13797.61395,15.05474259,3332.359364,4140.494,,,,,,,,,,
1932,Los Angeles,Chile,,,,,351,117,14,,34.05,8117.831908,-41.1649584,1844.45583,4401.207,,,,,,,,,,
1936,Berlin,Chile,,,,,387,129,19,,52.52,13398.79821,65.05390066,2847.455403,4705.534,,,,,,,,,,
1948,London,Chile,,,,,408,136,17,,51.5,21771.98074,62.49204142,3711.880097,5865.486,,,,,,,,,,
1952,Helsiniki,Chile,,,,,447,149,17,,60.16,24828.27389,14.03773587,3893.03185,6377.619,,,,,,,,,,
1956,Melbourne,Chile,,,,,453,151,17,,28.08,27257.81567,9.785383343,3956.806051,6888.843,,,,,,,,,,
1960,Rome,Chile,,,,,450,150,17,,41.9,32391.54312,18.83396496,4270.277231,7585.349,,,,,,,,,,
1964,Tokyo,Chile,,,,,489,163,19,,35.68,38638.90402,19.28701228,4638.288359,8330.423,,,,,,,,,,
1968,Mexico City,Chile,,,,,516,172,18,,19.43,46300.68986,19.82920073,5127.644877,9029.621,,,,,,,,,,
1972,Munich,Chile,,,,,585,195,21,,48.13,52752.16421,13.93386225,5428.560219,9717.524,,,,,,,,,,
1976,Montreal,Chile,,,,,594,198,21,,45.5,45349.10092,-14.03366743,4347.025561,10432.214,,,,,,,,,,
1980,Moscow,Chile,,,,,609,203,21,,55.75,63016.92061,38.95958097,5680.414863,11093.718,,,,,,,,,,
1984,Los Angeles,Chile,,,,,663,221,21,,34.05,59525.04007,-5.541179273,5010.888421,11879.139,,,,,,,,,,
1988,Seoul,Chile,,,,,711,237,23,,37.56,73289.65856,23.12408101,5781.070385,12677.524,,,,,,,,,,
1992,Barcelona,Chile,,,,,771,257,25,,41.38,101873.655,39.00140485,7505.614089,13572.994,,,,,,,,,,
1996,Atlanta,Chile,,,,,813,271,26,,33.74,136918.4074,34.4002111,9505.421936,14404.243,,,,,,,,,,
2000,Sydney,Chile,,,,,900,300,28,,-33.86,156244.7021,14.11519098,10310.83364,15153.45,,,,,,,,,,
2004,Athens,Chile,,,,,903,301,28,,37.98,183127.3014,17.20544697,11572.78811,15823.957,,,,,,,,,,
2008,Beijing,Chile,,,,,906,302,28,,39.9,213904.9427,16.80669185,13017.15953,16432.536,,,,,,,,,,
2012,London,Chile,,,,,906,302,26,,51.5,250489.7829,17.10331692,,,,,,,,,,,,
1896,Athens,Peru,,,,,129,43,9,,37.98,1934,,557.3487032,3470,,,,,,,,,,
1900,Paris,Peru,,,,,255,85,19,,48.85,2502,,685.8552632,3648,,,,,,,,,,
1904,Saint Louis,Peru,,,,,282,94,16,,38.62,3126,,814.911366,3836,,,,,,,,,,
1908,London,Peru,,,,,330,110,22,,51.5,3923,,972.483887,4034,,,,,,,,,,
1912,Stockholm,Peru,,,,,306,102,14,,59.32,4291,,1011.551155,4242,,,,,,,,,,
1920,Antwerp,Peru,,,,,468,156,22,,51.21,5751,,1226.226013,4690,,,,,,,,,,
1924,Paris,Peru,,,,,378,126,17,,48.85,7608,,1524.038462,4992,,,,,,,,,,
1928,Amstredam,Peru,,,,,327,109,14,,52.37,9319,,1754.329819,5312,,,,,,,,,,
1932,Los Angeles,Peru,,,,,351,117,14,,34.05,8055,,1423.144876,5660,,,,,,,,,,
1936,Berlin,Peru,,,,,387,129,19,,52.52,11662,,1931.43425,6038,,,,,,,,,,
1948,London,Peru,,,,,408,136,17,,51.5,15184,,2058.56833,7376,,,,,,,,,,
1952,Helsiniki,Peru,,,,,447,149,17,,60.16,19963,,2487.384278,8025.7,,,,,,,,,,
1956,Melbourne,Peru,,,,,453,151,17,,28.08,24500,,2751.294231,8904.9,,,,,,,,,,
1960,Rome,Peru,,,,,450,150,17,,41.9,29486,,2969.086698,9931,,,,,,,,,,
1964,Tokyo,Peru,,,,,489,163,19,,35.68,38614,,3465.159061,11143.5,,,,,,,,,,
1968,Mexico City,Peru,,,,,516,172,18,,19.43,45980,,3685.476114,12476,,,,,,,,,,
