AMOUNT,VENDOR_ID,DATE,TIME,VENDOR_NAME
28,6702161,6/20/2017,52:26.0,Jogeshwari Juice Centre
47,6692160,6/21/2017,55:03.3,Quality Sandwich
23,6682160,6/21/2017,55:22.7,M. D. B. Tea & Snacks
70,6762160,6/21/2017,50:42.3,BK Caters
24,6682160,6/21/2017,18:23.5,M. D. B. Tea & Snacks
47,6692160,6/21/2017,10:59.4,Quality Sandwich
17,6672160,6/22/2017,20:49.7,Joshi Snacks Centre
12,6682160,6/22/2017,21:32.1,M. D. B. Tea & Snacks
70,6762160,6/22/2017,48:32.2,BK Caters
8,6682160,7/3/2017,50:26.0,M. D. B. Tea & Snacks
12,6682160,7/4/2017,00:30.9,M. D. B. Tea & Snacks
34,6692160,7/4/2017,04:15.8,Quality Sandwich
53,6762160,7/4/2017,27:23.2,BK Caters
23,6682160,7/4/2017,42:42.6,M. D. B. Tea & Snacks
69,6692160,7/5/2017,32:37.0,Quality Sandwich
23,6682160,7/5/2017,35:58.3,M. D. B. Tea & Snacks
106,6762162,7/6/2017,06:52.3,BK Caters
47,6692160,7/6/2017,01:02.9,Quality Sandwich
21,6682160,7/6/2017,02:20.2,M. D. B. Tea & Snacks
35,6682160,7/6/2017,01:58.6,M. D. B. Tea & Snacks
23,6682160,7/7/2017,02:41.3,M. D. B. Tea & Snacks
47,6692160,7/7/2017,03:25.6,Quality Sandwich
70,6742160,7/7/2017,54:46.8,Yogi Hospitality
29,6682160,7/10/2017,33:24.7,M. D. B. Tea & Snacks
26,6682160,7/10/2017,33:17.8,M. D. B. Tea & Snacks
18,6672160,7/11/2017,30:00.0,Joshi Snacks Centre
23,6682160,7/11/2017,38:00.1,M. D. B. Tea & Snacks
53,6762160,7/11/2017,42:39.7,BK Caters
53,6762162,7/13/2017,05:37.9,BK Caters
15,6952160,7/14/2017,36:04.6,Pune Special
47,6692160,7/14/2017,35:21.2,Quality Sandwich
70,6742161,7/14/2017,26:56.7,Yogi Hospitality
60,6952160,7/17/2017,42:49.3,Pune Special
53,6762162,7/17/2017,09:48.7,BK Caters
23,6822160,7/20/2017,49:45.2,Sai Snacks Centre
60,6952160,7/20/2017,56:13.6,Pune Special
70,6762162,7/20/2017,06:33.6,BK Caters
15,6952160,7/20/2017,08:22.7,Pune Special
12,6682160,7/20/2017,09:07.8,M. D. B. Tea & Snacks
30,6952160,7/20/2017,25:39.2,Pune Special
60,6952160,7/21/2017,21:40.2,Pune Special
53,6762162,7/21/2017,13:55.8,BK Caters
53,6762162,7/21/2017,13:44.8,BK Caters
15,6952160,7/21/2017,44:36.8,Pune Special
15,6952160,7/21/2017,01:22.2,Pune Special
15,6952160,7/24/2017,50:57.4,Pune Special
24,6672160,7/24/2017,30:27.5,Joshi Snacks Centre
30,6952160,7/24/2017,31:09.3,Pune Special
